Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S210622297,Snow Goose,Anser caerulescens,257,1,US-NY,New York,L191107,Central Park--Jacqueline Kennedy Onassis Reservoir,40.786003,-73.96196,2025-01-25,11:10 AM,eBird - Traveling Count,69,1,2.082,,2,,On water near fountain. Flew away south in flock of Canada geese. Will add photos,,629709451 629709452
S207228560,Snow Goose,Anser caerulescens,257,1,US-NY,New York,L1293732,Randalls Island,40.7887808,-73.9219681,2024-12-30,11:07 AM,eBird - Traveling Count,146,1,5.763,,2,,Seen with large flick of Canada geese on northwest corner. Will add photos,,628835873
S162264673,Snow Goose,Anser caerulescens,257,5,US-NY,Queens,L109145,Jamaica Bay Wildlife Refuge--West Pond,40.6188482,-73.8307995,2024-02-19,10:26 AM,eBird - Traveling Count,203,1,5.057,,2
S206919170,Ross's Goose,Anser rossii,261,6,US-AL,Morgan,L854843,Wheeler NWR--Visitors Center (NABT 16),34.5473577,-86.9510794,2024-12-28,09:47 AM,eBird - Traveling Count,129,1,3.612,,2
S206919170,Greater White-fronted Goose,Anser albifrons,276,80,US-AL,Morgan,L854843,Wheeler NWR--Visitors Center (NABT 16),34.5473577,-86.9510794,2024-12-28,09:47 AM,eBird - Traveling Count,129,1,3.612,,2
S213449627,Brant,Branta bernicla,302,8,US-NY,Kings,L3311662,"BJs Wholesale Club Waterfront, Brooklyn",40.5917716,-73.9990756,2025-02-15,09:39 AM,eBird - Traveling Count,13,1,.145,,2
S158812953,Brant,Branta bernicla,302,X,US-NY,Kings,L1902982,Brooklyn Bridge Park,40.6996104,-73.9973745,2024-01-13,03:13 PM,eBird - Traveling Count,48,1,2.542,,2
S213479215,Brant,Branta bernicla,302,50,US-NY,Kings,L351189,Calvert Vaux Park (Dreier-Offerman Park),40.5848762,-73.9945752,2025-02-15,09:59 AM,eBird - Traveling Count,56,1,2.202,,2
S203477215,Brant,Branta bernicla,302,4,US-NY,Kings,L1373631,Coney Island Beach--35th St. Overlook,40.5717813,-74.0006958,2024-11-24,08:35 AM,eBird - Traveling Count,178,1,5.363,,4
S166672764,Brant,Branta bernicla,302,13,US-NY,Kings,L29110432,"East River, New York US-NY (40.7349,-73.9624)",40.734936,-73.96236,2024-03-24,03:01 PM,eBird - Traveling Count,6,1,.464,,2
S159904692,Brant,Branta bernicla,302,X,US-NY,Kings,L1058531,Floyd Bennett Field--Boat Launch,40.5960975,-73.8814259,2024-01-22,08:19 AM,eBird - Traveling Count,62,0,1.59,,2
S173423201,Brant,Branta bernicla,302,60,US-NY,Kings,L444485,Plumb Beach,40.5823284,-73.9153746,2024-05-11,07:23 AM,eBird - Traveling Count,29,1,.793,,4
S193278094,Brant,Branta bernicla,302,2,US-NY,Kings,L444485,Plumb Beach,40.5823284,-73.9153746,2024-08-30,09:14 AM,eBird - Traveling Count,173,1,2.903,,3
